effective_date,signal_date,risk_on,leaders,turnover,transaction_cost,weights
2023-10-23,2023-10-20,True,"EWI,XHB,EWP,FEZ,EWW",0.2,0.0001,"{'EWI': 0.2, 'EWP': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-10-30,2023-10-27,True,"XHB,URA,EWI,EPOL,XLC",0.6000000000000001,0.00030000000000000003,"{'EPOL': 0.2, 'EWI': 0.2, 'SGOV': 0.0, 'URA': 0.2, 'XHB': 0.2, 'XLC': 0.2}"
2023-11-06,2023-11-03,True,"XLC,XHB,IGV,XLK,URA",0.4,0.0002,"{'IGV': 0.2, 'SGOV': 0.0, 'URA': 0.2, 'XHB': 0.2, 'XLC': 0.2, 'XLK': 0.2}"
2023-11-13,2023-11-10,True,"IGV,XLK,XLC,IXN,VUG",0.4,0.0002,"{'IGV': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'VUG': 0.2, 'XLC': 0.2, 'XLK': 0.2}"
2023-11-20,2023-11-17,True,"IGV,XLK,XLC,URA,IXN",0.2,0.0001,"{'IGV': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'URA': 0.2, 'XLC': 0.2, 'XLK': 0.2}"
2023-11-27,2023-11-24,True,"URA,IGV,XLC,EPOL,JEPQ",0.4,0.0002,"{'EPOL': 0.2, 'IGV': 0.2, 'JEPQ': 0.2, 'SGOV': 0.0, 'URA': 0.2, 'XLC': 0.2}"
2023-12-04,2023-12-01,True,"IGV,URA,XLK,IXN,XLC",0.4,0.0002,"{'IGV': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'URA': 0.2, 'XLC': 0.2, 'XLK': 0.2}"
2023-12-11,2023-12-08,True,"IGV,XLK,IXN,ARKF,TMFC",0.4,0.0002,"{'ARKF': 0.2, 'IGV': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'TMFC': 0.2, 'XLK': 0.2}"
2023-12-18,2023-12-15,True,"IGV,URA,XLK,IXN,ARKF",0.2,0.0001,"{'ARKF': 0.2, 'IGV': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'URA': 0.2, 'XLK': 0.2}"
2023-12-26,2023-12-22,True,"IGV,ARKF,XLK,IXN,QQQM",0.2,0.0001,"{'ARKF': 0.2, 'IGV': 0.2, 'IXN': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'XLK': 0.2}"
2024-01-02,2023-12-29,True,"IGV,ARKF,XLK,IXN,QQQM",0.0,0.0,"{'ARKF': 0.2, 'IGV': 0.2, 'IXN': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'XLK': 0.2}"
2024-01-08,2024-01-05,True,"IGV,ARKF,IXN,XLK,QQQM",0.0,0.0,"{'ARKF': 0.2, 'IGV': 0.2, 'IXN': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'XLK': 0.2}"
2024-01-16,2024-01-12,True,"IGV,IXN,XLK,QQQM,TMFC",0.2,0.0001,"{'IGV': 0.2, 'IXN': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'TMFC': 0.2, 'XLK': 0.2}"
2024-01-22,2024-01-19,True,"IGV,XLK,IXN,QQQM,TMFC",0.0,0.0,"{'IGV': 0.2, 'IXN': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'TMFC': 0.2, 'XLK': 0.2}"
2024-01-29,2024-01-26,True,"IGV,XLK,IXN,QTEC,QQQM",0.2,0.0001,"{'IGV': 0.2, 'IXN': 0.2, 'QQQM': 0.2, 'QTEC': 0.2, 'SGOV': 0.0, 'XLK': 0.2}"
2024-02-05,2024-02-02,True,"SMIN,XLK,IGV,QQQM,IXN",0.2,0.0001,"{'IGV': 0.2, 'IXN': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XLK': 0.2}"
2024-02-12,2024-02-09,True,"SMIN,IGV,XLK,IXN,QTEC",0.2,0.0001,"{'IGV': 0.2, 'IXN': 0.2, 'QTEC': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XLK': 0.2}"
2024-02-20,2024-02-16,True,"SMIN,IGV,XLK,XHB,QQQM",0.4,0.0002,"{'IGV': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XHB': 0.2, 'XLK': 0.2}"
2024-02-26,2024-02-23,True,"IXN,XLK,SMIN,IGV,QQQM",0.2,0.0001,"{'IGV': 0.2, 'IXN': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XLK': 0.2}"
2024-03-04,2024-03-01,True,"SMIN,IGV,XLK,IXN,FDN",0.2,0.0001,"{'FDN': 0.2, 'IGV': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XLK': 0.2}"
2024-03-11,2024-03-08,True,"XLK,SMIN,IGV,IXN,TMFC",0.2,0.0001,"{'IGV': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'TMFC': 0.2, 'XLK': 0.2}"
